Item,Region_Number,Region_Name,Average_Annual_Percent_Growth,Year,Spending,Population,State,SpendingAdjusted,perCapSpendAdjusted
Hospital Care (Millions of Dollars),3,Great Lakes,7.1,1980,1937,4705767,Wisconsin,7373.975643203883,0.001567008235470197
Hospital Care (Millions of Dollars),7,Rocky Mountains,7.7,1980,144,469557,Wyoming,548.1943689320389,0.001167471401623315
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.6,1980,675,3893888,Alabama,2569.6611043689322,0.0006599216783761968
Physician & Clinical Services (Millions of Dollars),8,Far West,8.8,1980,131,401851,Alaska,498.70459951456314,0.0012410186848223921
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.7,1980,720,2718215,Arizona,2740.971844660194,0.0010083719811200343
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.5,1980,390,2286435,Arkansas,1484.6930825242719,0.0006493484759130576
Physician & Clinical Services (Millions of Dollars),8,Far West,7.2,1980,7257,23667902,California,27626.712050970877,0.001167264933367177
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,8.0,1980,644,2889964,Colorado,2451.6470388349517,0.0008483313421326188
Physician & Clinical Services (Millions of Dollars),1,New England,7.7,1980,623,3107576,Connecticut,2371.702026699029,0.0007632000075618518
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.6,1980,121,594338,Delaware,460.6355461165049,0.0007750397015107647
Physician & Clinical Services (Millions of Dollars),2,Mideast,6.5,1980,265,638333,District of Columbia,1008.8299150485437,0.0015804132248349117
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.5,1980,2686,9746324,Florida,10225.347742718446,0.0010491491707764328
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.8,1980,1050,5463105,Georgia,3997.2506067961162,0.0007316810873662717
Physician & Clinical Services (Millions of Dollars),8,Far West,7.1,1980,273,964691,Hawaii,1039.2851577669903,0.0010773244051898382
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.9,1980,149,943935,Idaho,567.2288956310679,0.0006009194442743069
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.1,1980,2255,11426518,Illinois,8584.571541262136,0.0007512849969922715
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.9,1980,940,5490224,Indiana,3578.491019417476,0.000651793263702442
Physician & Clinical Services (Millions of Dollars),4,Plains,6.5,1980,494,2913808,Iowa,1880.6112378640776,0.0006454135749040697
Physician & Clinical Services (Millions of Dollars),4,Plains,7.0,1980,496,2363679,Kansas,1888.2250485436894,0.0007988500335890319
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.8,1980,601,3660777,Kentucky,2287.950109223301,0.0006249902982954987
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.2,1980,761,4205900,Louisiana,2897.054963592233,0.0006888073809629884
Physician & Clinical Services (Millions of Dollars),1,New England,8.1,1980,148,1124660,Maine,563.4219902912621,0.0005009709514797913
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.1,1980,905,4216975,Maryland,3445.249332524272,0.0008169954369006865
Physician & Clinical Services (Millions of Dollars),1,New England,8.4,1980,1026,5737037,Massachusetts,3905.884878640777,0.000680819189180892
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,6.1,1980,2160,9262078,Michigan,8222.915533980582,0.0008878046086397223
Physician & Clinical Services (Millions of Dollars),4,Plains,7.4,1980,944,4075970,Minnesota,3593.718640776699,0.0008816842716645851
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.7,1980,345,2520638,Mississippi,1313.3823422330097,0.0005210515521201417
Physician & Clinical Services (Millions of Dollars),4,Plains,7.1,1980,931,4916686,Missouri,3544.2288713592234,0.0007208572748715747
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.4,1980,147,786690,Montana,559.6150849514563,0.0007113540085058362
Physician & Clinical Services (Millions of Dollars),4,Plains,7.6,1980,283,1569825,Nebraska,1077.3542111650486,0.000686289370576369
Physician & Clinical Services (Millions of Dollars),8,Far West,9.7,1980,226,800493,Nevada,860.3606067961165,0.0010747884201312398
Physician & Clinical Services (Millions of Dollars),1,New England,9.2,1980,140,920610,New Hampshire,532.9667475728156,0.0005789278278237425
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.0,1980,1471,7364823,New Jersey,5599.957754854369,0.0007603655586637139
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.0,1980,215,1302894,New Mexico,818.4846480582524,0.0006282050942427031
Physician & Clinical Services (Millions of Dollars),2,Mideast,7.4,1980,3195,17558072,New York,12163.062560679611,0.0006927333798767662
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.8,1980,912,5881766,North Carolina,3471.8976699029126,0.0005902815021717818
Physician & Clinical Services (Millions of Dollars),4,Plains,6.6,1980,145,652717,North Dakota,552.0012742718447,0.0008456977132077834
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,6.7,1980,2262,10797630,Ohio,8611.219878640777,0.0007975101831272953
Physician & Clinical Services (Millions of Dollars),6,Southwest,7.0,1980,592,3025290,Oklahoma,2253.6879611650484,0.0007449493969718766
Physician & Clinical Services (Millions of Dollars),8,Far West,7.7,1980,609,2633105,Oregon,2318.4053519417475,0.0008804834413902019
Physician & Clinical Services (Millions of Dollars),2,Mideast,7.6,1980,2104,11863895,Pennsylvania,8009.7288349514565,0.000675134838512264
Physician & Clinical Services (Millions of Dollars),1,New England,7.3,1980,180,947154,Rhode Island,685.2429611650485,0.0007234757612437349
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.6,1980,443,3121820,South Carolina,1686.4590655339807,0.0005402166254088899
Physician & Clinical Services (Millions of Dollars),4,Plains,7.7,1980,114,690768,South Dakota,433.9872087378641,0.0006282676799415492
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.3,1980,893,4591120,Tennessee,3399.566468446602,0.0007404656093603744
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.2,1980,3183,14229191,Texas,12117.379696601942,0.0008515859894355161
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,8.5,1980,256,1461037,Utah,974.5677669902913,0.0006670383891648817
Physician & Clinical Services (Millions of Dollars),1,New England,8.1,1980,64,511456,Vermont,243.64194174757282,0.00047636930986746234
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.5,1980,960,5346818,Virginia,3654.629126213592,0.0006835147794844695
Physician & Clinical Services (Millions of Dollars),8,Far West,8.4,1980,945,4132156,Washington,3597.525546116505,0.0008706170691804726
Physician & Clinical Services (Millions of Dollars),5,Southeast,6.7,1980,327,1949644,West Virginia,1244.8580461165047,0.000638505309747064
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.7,1980,989,4705767,Wisconsin,3765.0293810679614,0.0008000883556427595
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.2,1980,71,469557,Wyoming,270.2902791262136,0.0005756282605226066
Other Professional Services (Millions of Dollars),5,Southeast,10.0,1980,30,3893888,Alabama,114.20716019417475,2.932985237227541e-05
Other Professional Services (Millions of Dollars),8,Far West,11.1,1980,9,401851,Alaska,34.26214805825243,8.526082567482084e-05
Other Professional Services (Millions of Dollars),6,Southwest,11.2,1980,45,2718215,Arizona,171.31074029126214,6.302324882000214e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.3,1980,26,2286435,Arkansas,98.97953883495146,4.3289898394203836e-05
Other Professional Services (Millions of Dollars),8,Far West,8.5,1980,586,23667902,California,2230.8465291262137,9.425620104081103e-05
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.8,1980,54,2889964,Colorado,205.57288834951459,7.113337340863574e-05
Other Professional Services (Millions of Dollars),1,New England,9.7,1980,51,3107576,Connecticut,194.15217233009707,6.247704716798465e-05
Other Professional Services (Millions of Dollars),2,Mideast,11.4,1980,8,594338,Delaware,30.455242718446602,5.12422943147613e-05
Other Professional Services (Millions of Dollars),2,Mideast,8.7,1980,10,638333,District of Columbia,38.06905339805825,5.963823489943063e-05
Other Professional Services (Millions of Dollars),5,Southeast,11.1,1980,165,9746324,Florida,628.1393810679612,6.444885077368259e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.9,1980,63,5463105,Georgia,239.835036407767,4.3900865241976316e-05
Other Professional Services (Millions of Dollars),8,Far West,9.9,1980,14,964691,Hawaii,53.29667475728156,5.5247405394350686e-05
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.6,1980,16,943935,Idaho,60.910485436893204,6.45282624724088e-05
Other Professional Services (Millions of Dollars),3,Great Lakes,9.9,1980,169,11426518,Illinois,643.3670024271845,5.630472926460926e-05
Other Professional Services (Millions of Dollars),3,Great Lakes,9.4,1980,74,5490224,Indiana,281.71099514563105,5.131138458934117e-05
Other Professional Services (Millions of Dollars),4,Plains,8.2,1980,51,2913808,Iowa,194.15217233009707,6.663176583017723e-05
Other Professional Services (Millions of Dollars),4,Plains,8.8,1980,42,2363679,Kansas,159.89002427184465,6.764455929584544e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.5,1980,32,3660777,Kentucky,121.82097087378641,3.3277353653004925e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.0,1980,43,4205900,Louisiana,163.6969296116505,3.892078499528056e-05
Other Professional Services (Millions of Dollars),1,New England,10.4,1980,15,1124660,Maine,57.103580097087374,5.0774082920249116e-05
Other Professional Services (Millions of Dollars),2,Mideast,10.2,1980,61,4216975,Maryland,232.22122572815536,5.506820071927279e-05
Other Professional Services (Millions of Dollars),1,New England,9.6,1980,89,5737037,Massachusetts,338.8145752427185,5.905741504590584e-05
Other Professional Services (Millions of Dollars),3,Great Lakes,8.5,1980,157,9262078,Michigan,597.6841383495146,6.453024238723909e-05
Other Professional Services (Millions of Dollars),4,Plains,9.5,1980,68,4075970,Minnesota,258.86956310679614,6.351115516227944e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.3,1980,18,2520638,Mississippi,68.52429611650486,2.7185298371485655e-05
Other Professional Services (Millions of Dollars),4,Plains,9.5,1980,62,4916686,Missouri,236.02813106796117,4.800553280562582e-05
Other Professional Services (Millions of Dollars),7,Rocky Mountains,9.5,1980,13,786690,Montana,49.48976941747573,6.290885789507395e-05
Other Professional Services (Millions of Dollars),4,Plains,10.0,1980,21,1569825,Nebraska,79.94501213592233,5.092606636785777e-05
Other Professional Services (Millions of Dollars),8,Far West,11.9,1980,16,800493,Nevada,60.910485436893204,7.609121558451255e-05
Other Professional Services (Millions of Dollars),1,New England,9.7,1980,14,920610,New Hampshire,53.29667475728156,5.7892782782374247e-05
Other Professional Services (Millions of Dollars),2,Mideast,10.2,1980,118,7364823,New Jersey,449.2148300970874,6.0994653924077653e-05
Other Professional Services (Millions of Dollars),6,Southwest,9.9,1980,21,1302894,New Mexico,79.94501213592233,6.135956734463612e-05
Other Professional Services (Millions of Dollars),2,Mideast,9.2,1980,296,17558072,New York,1126.8439805825242,6.417811594476457e-05
Other Professional Services (Millions of Dollars),5,Southeast,11.0,1980,62,5881766,North Carolina,236.02813106796117,4.012878633185359e-05
Other Professional Services (Millions of Dollars),4,Plains,9.2,1980,10,652717,North Dakota,38.06905339805825,5.832398022122643e-05
Other Professional Services (Millions of Dollars),3,Great Lakes,8.8,1980,152,10797630,Ohio,578.6496116504854,5.359042786708615e-05
Other Professional Services (Millions of Dollars),6,Southwest,9.5,1980,43,3025290,Oklahoma,163.6969296116505,5.410950011788969e-05
Other Professional Services (Millions of Dollars),8,Far West,10.1,1980,50,2633105,Oregon,190.34526699029126,7.228928090231543e-05
Other Professional Services (Millions of Dollars),2,Mideast,9.7,1980,167,11863895,Pennsylvania,635.7531917475728,5.358722339902476e-05
Other Professional Services (Millions of Dollars),1,New England,10.3,1980,12,947154,Rhode Island,45.6828640776699,4.823171741624899e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.8,1980,28,3121820,South Carolina,106.59334951456312,3.41446174073339e-05
Other Professional Services (Millions of Dollars),4,Plains,9.5,1980,10,690768,South Dakota,38.06905339805825,5.5111199994872735e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.7,1980,46,4591120,Tennessee,175.11764563106797,3.8142685364588157e-05
Other Professional Services (Millions of Dollars),6,Southwest,10.8,1980,189,14229191,Texas,719.505109223301,5.056542632840483e-05
Other Professional Services (Millions of Dollars),7,Rocky Mountains,11.4,1980,16,1461037,Utah,60.910485436893204,4.168989932280511e-05
Other Professional Services (Millions of Dollars),1,New England,10.2,1980,7,511456,Vermont,26.64833737864078,5.2102893266753694e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.7,1980,57,5346818,Virginia,216.99360436893204,4.058369003189038e-05
Other Professional Services (Millions of Dollars),8,Far West,10.2,1980,82,4132156,Washington,312.1662378640777,7.554560811936377e-05
Other Professional Services (Millions of Dollars),5,Southeast,9.3,1980,18,1949644,West Virginia,68.52429611650486,3.514708127048059e-05
Other Professional Services (Millions of Dollars),3,Great Lakes,9.6,1980,66,4705767,Wisconsin,251.25575242718446,5.339315619051782e-05
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.0,1980,7,469557,Wyoming,26.64833737864078,5.6752082023355584e-05
Dental Services (Millions of Dollars),5,Southeast,6.3,1980,161,3893888,Alabama,612.9117597087379,0.00015740354106454473
Dental Services (Millions of Dollars),8,Far West,7.3,1980,34,401851,Alaska,129.43478155339807,0.00032209645254932317
Dental Services (Millions of Dollars),6,Southwest,8.0,1980,165,2718215,Arizona,628.1393810679612,0.0002310852456733412
Dental Services (Millions of Dollars),5,Southeast,7.0,1980,84,2286435,Arkansas,319.7800485436893,0.0001398596717351201
Dental Services (Millions of Dollars),8,Far West,6.2,1980,2064,23667902,California,7857.452621359223,0.0003319877115157576
Dental Services (Millions of Dollars),7,Rocky Mountains,7.5,1980,192,2889964,Colorado,730.9258252427184,0.0002529186610084826
Dental Services (Millions of Dollars),1,New England,6.1,1980,228,3107576,Connecticut,867.9744174757282,0.0002793091520451079
Dental Services (Millions of Dollars),2,Mideast,6.9,1980,35,594338,Delaware,133.2416868932039,0.00022418503762708071
Dental Services (Millions of Dollars),2,Mideast,5.9,1980,42,638333,District of Columbia,159.89002427184465,0.0002504805865776086
Dental Services (Millions of Dollars),5,Southeast,7.3,1980,588,9746324,Florida,2238.4603398058252,0.00022967226821166885
Dental Services (Millions of Dollars),5,Southeast,7.5,1980,270,5463105,Georgia,1027.8644417475728,0.0001881465653227556
Dental Services (Millions of Dollars),8,Far West,5.5,1980,80,964691,Hawaii,304.552427184466,0.0003156994593962896
Dental Services (Millions of Dollars),7,Rocky Mountains,7.5,1980,52,943935,Idaho,197.9590776699029,0.0002097168530353286
Dental Services (Millions of Dollars),3,Great Lakes,5.7,1980,662,11426518,Illinois,2520.171334951456,0.00022055461995959365
Dental Services (Millions of Dollars),3,Great Lakes,6.4,1980,258,5490224,Indiana,982.1815776699028,0.00017889644897364895
Dental Services (Millions of Dollars),4,Plains,5.8,1980,150,2913808,Iowa,571.0358009708738,0.00019597578185346246
Dental Services (Millions of Dollars),4,Plains,6.3,1980,124,2363679,Kansas,472.05626213592234,0.00019971250839725797
Dental Services (Millions of Dollars),5,Southeast,6.6,1980,128,3660777,Kentucky,487.28388349514563,0.0001331094146120197
Dental Services (Millions of Dollars),5,Southeast,6.1,1980,179,4205900,Louisiana,681.4360558252428,0.00016201908172453999
Dental Services (Millions of Dollars),1,New England,7.2,1980,45,1124660,Maine,171.31074029126214,0.00015232224876074736
Dental Services (Millions of Dollars),2,Mideast,6.8,1980,242,4216975,Maryland,921.2710922330098,0.00021846728809941007
Dental Services (Millions of Dollars),1,New England,6.7,1980,362,5737037,Massachusetts,1378.0997330097086,0.00024021105895076302
Dental Services (Millions of Dollars),3,Great Lakes,5.0,1980,682,9262078,Michigan,2596.3094417475727,0.00028031608476494936
